# tank_end_upstream
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-6.6678 111.921 800 -1.87696 38.1232 -79.1221 12.6635 2112 6 1006 1 1 0 0 1 
-48.8143 101.054 800 -37.0459 78.241 -179.925 7.57932 2112 6 1009 1 1 0 0 1 
-2.58969 -0.611294 795 0 0 8888.89 2.66648 2212 7 1 0 1 1.41363e-25 1.41363e-25 1 
-132.201 -57.7069 800 -218.867 -89.576 -167.919 6.60723 1000010020 7 1016 1 1 6.24846e-24 6.24846e-24 1 
-209.147 -103.282 800 -60.4719 -30.0236 -28.3736 13.7625 2112 7 1028 1026 1 0 0 1 
179.586 23.924 800 1.14954 -6.56339 -50.6193 31.5141 2112 7 1032 1 1 0 0 1 
-169.278 79.5774 800 -46.6242 22.4301 -27.1603 14.2356 2112 7 1035 1 1 0 0 1 
78.0896 -7.22451 800 24.9357 -2.10579 -30.54 13.0496 2112 7 1051 1049 1 0 0 1 
15.2764 -26.5267 800 25.6303 -37.1782 -139.32 5.21976 2112 7 1067 1 1 0 0 1 
-68.0042 -17.0371 800 -92.847 -23.3092 -137.82 5.25206 2112 7 1073 1 1 0 0 1 
-171.487 10.4251 800 -151.518 9.9033 -87.1103 6.56275 2112 7 1079 1 1 0 0 1 
-204.847 57.6657 800 -40.9962 11.4436 -20.2565 18.8686 2112 7 1085 1083 1 0 0 1 
-84.5359 34.5162 800 -127.591 51.6338 -158.918 5.02935 2112 7 1092 1 1 0 0 1 
-45.6186 -120.536 800 -59.9114 -166.964 -135.195 5.3226 2112 7 1096 1 1 0 0 1 
-141.092 8.89238 800 -184.911 12.6918 -129.638 5.42361 2112 7 1097 1 1 0 0 1 
9.26474 -12.474 800 37.6408 -37.6649 -308.385 4.04911 2112 7 1100 1 1 0 0 1 
7.31903 41.7177 800 -10.1828 5.46612 -15.5989 80.7834 2112 7 1103 1101 1 0 0 1 
-72.7931 -108.055 800 -57.033 -87.4686 -80.1784 6.87327 2112 7 1107 1101 1 0 0 1 
103.363 -24.011 800 232.051 -51.2432 -212.673 4.52014 2112 7 1108 1 1 0 0 1 
0.718942 -0.0127798 795 0 0 8888.89 2.66651 2212 8 1 0 1 1.41363e-25 1.41363e-25 1 
179.929 -52.2428 800 62.1414 -18.0079 -75.5432 12.5487 2112 8 1045 1 1 0 0 1 
186.436 -102.586 800 100.584 -55.2761 -118.012 9.31865 2112 8 1067 1 1 0 0 1 
-72.8699 -82.4854 800 -52.3408 -59.0738 -156.48 7.87972 2112 8 1076 1074 1 0 0 1 
-199.497 55.7396 800 -134.963 38.2194 -148.835 8.14511 2112 8 1089 1 1 0 0 1 
6.43483 39.5937 800 6.65298 40.2986 -222.383 6.59019 2112 8 1092 1 1 0 0 1 
