# tank_side
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
247.5 35.2649 1073.13 88.8409 12.5074 63.7888 11.7183 2112 3 1034 1 1 0 0 1 
17.4414 -249.391 880.504 7.55694 -124.79 -8.26268 9.34654 2112 3 1037 1 1 0 0 1 
-249.503 15.7481 1131.81 -96.2335 5.73448 89.715 11.2895 2112 3 1043 1 1 0 0 1 
248.971 -22.6572 1121.47 104.186 -9.88359 94.7787 10.5128 2112 3 1046 1 1 0 0 1 
-249.958 4.59825 885.373 -166.924 2.55068 -7.73766 7.81939 2112 3 1052 1 1 0 0 1 
178.942 -174.584 1045.23 108.851 -108.037 91.3007 8.18596 2112 3 1053 1 1 0 0 1 
-188.404 164.328 1030.22 -124.33 106.652 86.8112 7.9087 2112 3 1055 1 1 0 0 1 
239.527 -71.6001 919.84 187.163 -57.075 17.968 7.06737 2112 3 1057 1 1 0 0 1 
244.994 -49.7789 1039.55 166.985 -34.7611 98.0353 7.66282 2112 3 1058 1 1 0 0 1 
111.652 223.682 1079.66 6.59484 9.41147 1.25166 123.788 2112 3 1064 1062 1 0 0 1 
-236.829 80.0763 1071.43 -108.539 35.644 79.7412 4.45498 211 3 1068 1 1 2.66813e-25 2.66813e-25 1 
-214.514 128.389 989.132 -131.474 87.5098 53.5692 4.14879 -211 3 1070 1 1 1.99527e-25 1.99527e-25 1 
37.9176 -247.108 1087.75 57.9749 -403.361 310.331 5.2023 2112 3 1072 1 1 0 0 1 
121.317 -218.592 976.081 246.66 -454.545 163.75 4.75516 2112 3 1073 1 1 0 0 1 
46.5532 245.627 1039.15 86.1411 476.614 276.54 4.88154 2112 3 1074 1 1 0 0 1 
173.407 -180.083 1097.85 170.905 -185.937 192.42 4.19686 -211 3 1078 1076 1 1.78389e-25 1.78389e-25 1 
242.586 60.4306 1111.95 621.146 154.288 555.455 4.64162 2112 3 1079 1 1 0 0 1 
-186.756 166.2 898.553 -333.242 291.903 2.01884 3.88747 -211 3 1080 1 1 1.35651e-25 1.35651e-25 1 
74.3969 238.674 1110.34 213.257 703.066 630.22 4.53053 2212 3 1084 1 1 2.80017e-25 2.80017e-25 1 
221.518 -115.887 875.615 40.4439 -21.2409 -9.07883 20.3132 2112 4 1010 1 1 0 0 1 
-186.653 166.315 814.362 -33.0945 29.4266 -19.7189 20.7767 2112 4 1011 1 1 0 0 1 
17.1244 -249.413 1140.88 2.98198 -42.8212 36.9046 21.4358 2112 4 1012 1 1 0 0 1 
-103.086 227.757 1067.46 -21.7579 48.0778 30.0668 17.9425 2112 4 1014 1 1 0 0 1 
-211.126 133.887 1051.04 -48.44 30.6213 28.8648 16.7773 2112 4 1016 1 1 0 0 1 
-55.8561 243.68 929.387 -14.5725 63.7436 1.04399 15.0842 2112 4 1018 1 1 0 0 1 
-245.217 48.671 943.799 -86.5612 16.9874 6.50017 12.0113 2112 4 1022 1 1 0 0 1 
-221.614 115.704 827.944 -79.1479 41.1603 -34.8531 11.9135 2112 4 1023 1 1 0 0 1 
120.862 218.843 863.239 46.3641 83.4475 -23.9757 11.3445 2112 4 1026 1 1 0 0 1 
249.99 -2.22643 952.603 103.077 -1.16579 11.2014 10.7599 2112 4 1028 1 1 0 0 1 
7.76962 249.879 951.125 3.42147 105.871 10.923 10.5303 2112 4 1029 1 1 0 0 1 
214.736 -128.018 828.934 89.1392 -53.3212 -39.9933 10.7168 2112 4 1030 1 1 0 0 1 
-208.626 -137.751 1029.44 -71.5698 -14.3261 87.5279 11.4302 2112 4 1031 1 1 0 0 1 
-231.71 93.8636 860.228 -106.073 42.7453 -29.874 9.99565 2112 4 1033 1 1 0 0 1 
18.6338 -249.305 921.056 9.04601 -119.485 -2.07985 9.71213 2112 4 1034 1 1 0 0 1 
-217.468 -123.32 953.832 -111.832 -63.8116 14.6374 9.24798 2112 4 1035 1 1 0 0 1 
-191.038 -161.26 1146.33 -76.9808 -65.3228 89.1582 10.9494 2112 4 1036 1 1 0 0 1 
-179.532 -173.978 850.193 -109.769 -106.913 -46.0599 8.29529 2112 4 1043 1 1 0 0 1 
-238.781 -74.0516 953.319 -30.3604 -4.84103 -2.72609 1063.82 12 4 1054 1052 1 0 0 1 
-245.855 45.336 921.863 -16.9811 23.0911 -8.12419 8.23496 14 4 1056 1051 1 0 0 1 
230.706 96.3047 948.889 234.607 97.198 23.8506 6.30135 2112 4 1057 1 1 0 0 1 
184.756 -168.419 885.182 328.268 -299.849 -71.3575 5.0629 2112 4 1059 1 1 0 0 1 
244.08 54.0847 963.457 382.975 82.6951 60.2482 5.2672 2212 4 1061 1 1 6.59338e-25 6.59338e-25 1 
-249.285 18.892 951.956 -633.551 46.5314 67.5534 4.59336 2112 4 1063 1 1 0 0 1 
-229.024 -100.24 1069.71 -559.607 -246.716 353.048 4.70637 2112 4 1065 1 1 0 0 1 
-21.0341 249.114 1179.58 -71.2203 761.499 792.464 4.66489 2212 4 1072 1071 1 2.76039e-25 2.76039e-25 1 
-84.3604 -235.337 1179.49 -93.4968 -314.173 122.942 8.44158 2212 4 1075 1073 1 8.49085e-25 8.49085e-25 1 
55.7056 243.715 1002.6 129.298 516.009 -102.126 4.34985 2112 4 1076 1073 1 0 0 1 
-231.624 94.0759 865.253 -38.6822 15.9365 -4.63221 21.7462 2112 5 1006 1004 1 0 0 1 
